parsed_from,year,month,region,median,mean,modal
https://gorodrabot.ru/salary?y=2023&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%B8%D1%80%D0%BA%D1%83%D1%82%D1%81%D0%BA,2023,апрель,иркутск,37000.0,59114.0,30000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D1%83%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D1%81%D0%BA,2023,апрель,ульяновск,35000.0,51165.0,30000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%B8%D1%80%D0%BA%D1%83%D1%82%D1%81%D0%BA,2023,февраль,иркутск,35000.0,58878.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C&l=%D0%B8%D1%80%D0%BA%D1%83%D1%82%D1%81%D0%BA,2024,октябрь,иркутск,40000.0,74376.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%B8%D1%80%D0%BA%D1%83%D1%82%D1%81%D0%BA,2024,апрель,иркутск,40000.0,74376.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%B2%D0%BB%D0%B0%D0%B4%D0%B8%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA,2024,апрель,владивосток,46000.0,71818.0,60000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8C&l=%D0%B8%D1%80%D0%BA%D1%83%D1%82%D1%81%D0%BA,2024,декабрь,иркутск,40000.0,74376.0,50000.0
https://gorodrabot.ru/salary?y=2022&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%B8%D1%80%D0%BA%D1%83%D1%82%D1%81%D0%BA,2022,февраль,иркутск,35000.0,55490.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C&l=%D0%B2%D0%BB%D0%B0%D0%B4%D0%B8%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA,2024,октябрь,владивосток,46000.0,71818.0,60000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8C&l=%D0%B2%D0%BB%D0%B0%D0%B4%D0%B8%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA,2024,декабрь,владивосток,46000.0,71818.0,60000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D1%8F%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%BB%D1%8C,2024,апрель,ярославль,40000.0,56969.0,50000.0
